#{"t_start": 1769874964.780465, "env_id": "SocNavGym-v1"}
r,l,t
-217.703678,600,8.505824
-380.690384,600,11.534851
-67.830777,600,14.719234
-4.519938,600,17.581221
-167.84919,600,20.882146
-22.826487,600,24.707655
-49.235382,600,28.476948
-19.974175,600,31.924285
103.131126,403,34.111929
64.190852,582,37.535738
-18.013313,600,41.099983
28.490976,456,43.939691
-69.914325,600,47.479471
106.568667,492,50.145897
-24.296114,600,53.568575
102.180619,320,55.360081
103.564839,229,56.744616
102.533514,168,57.73745
103.302511,108,58.435907
92.242107,305,60.13103
103.369976,215,61.360348
31.67968,541,64.773583
77.462573,132,65.697262
78.715739,587,69.927946
104.210875,289,71.758206
74.893196,274,73.618596
92.96542,236,75.223724
101.316816,332,77.285072
108.864866,319,79.278377
102.272214,280,81.022689
101.650022,416,83.785034
102.397429,55,84.19285
69.007625,250,85.914637
102.067434,76,86.466429
89.480738,174,87.738112
102.968955,81,88.293354
107.532174,242,89.800701
82.646085,178,90.983363
105.603696,167,92.005059
104.215886,82,92.532019
-22.458802,413,95.085434
104.105247,85,95.675231
104.371458,118,96.461423
58.199877,401,98.983801
105.634498,218,100.290998
103.59706,89,100.859244
103.668681,96,101.486474
100.547773,19,101.647404
100.360583,184,102.757288
82.155812,250,104.380526
102.927929,121,105.141257
106.813706,215,106.397611
101.347756,100,107.068022
83.351924,80,107.604643
104.062685,167,108.68475
106.62854,203,109.946342
104.590443,112,110.656438
104.507821,98,111.297421
102.965332,79,111.829038
107.483994,180,112.94062
98.316308,112,113.677117
101.764096,71,114.163996
103.573463,71,114.65119
106.988553,176,115.752976
104.20603,123,116.511301
82.222968,167,117.657328
106.42594,209,118.936803
103.098465,117,119.680108
100.356979,96,120.31061
103.468564,79,120.826102
105.478776,152,121.790532
102.517545,56,122.165275
104.899916,97,122.787227
102.384187,88,123.364101
73.212918,201,124.694175
100.546454,27,124.905143
104.125865,81,125.448867
101.89743,45,125.777564
102.801069,171,126.848906
104.086036,120,127.617062
105.024556,107,128.314215
104.359785,94,128.931589
106.085991,242,130.42873
101.236777,33,130.669179
103.556411,53,131.054174
102.982075,73,131.538956
50.03832,286,133.458299
105.834303,155,134.492123
65.764586,201,135.760752
104.938986,122,136.548326
100.748936,17,136.701173
100.561465,10,136.8152
101.528118,39,137.114128
105.250613,109,137.824633
101.616367,46,138.140712
103.7736,117,138.900738
102.480512,109,139.602971
101.455186,59,140.002302
69.213157,243,141.579752
103.365958,59,141.997036
105.596502,86,142.576596
106.29733,110,143.303895
101.378277,66,143.739606
105.456221,88,144.345945
105.113736,213,145.70344
103.697814,116,146.469032
107.154813,173,147.594961
103.467193,87,148.198604
103.496189,67,148.666367
104.723333,102,149.346227
102.018646,44,149.659356
107.839503,169,150.749724
107.024821,294,152.701942
101.788586,29,152.930765
103.294386,73,153.440067
104.563986,82,154.001856
101.509376,38,154.276836
84.840449,103,155.01453
104.783538,78,155.551658
103.404016,72,156.063283
106.504441,107,156.764921
107.52631,100,157.414508
99.079627,198,158.675469
105.059856,87,159.280264
105.472275,106,159.986892
104.622714,79,160.529603
103.402367,114,161.278193
101.320725,30,161.522593
109.934328,147,162.519929
103.874536,53,162.91253
106.241694,91,163.532945
100.209341,104,164.279924
98.701843,51,164.640864
101.941898,70,165.15005
99.840159,155,166.156219
105.000156,99,166.819679
106.206565,167,167.938145
89.279942,192,169.218349
103.867524,50,169.593873
107.179008,114,170.357477
100.553196,14,170.491064
105.145868,68,170.973457
101.766481,33,171.234456
104.505681,86,171.820106
100.859082,20,171.984024
104.701114,80,172.536598
105.675662,80,173.087926
74.677651,150,174.138822
104.778796,98,174.791136
101.606877,27,175.008897
103.501728,74,175.512717
105.833069,173,176.667029
101.158475,41,176.98831
101.311061,179,178.144874
85.917476,134,179.046777
102.968233,94,179.68248
103.218144,107,180.401519
102.971541,126,181.254188
104.716752,86,181.844231
82.476302,264,183.686116
102.933692,57,184.104425
103.776703,56,184.509791
107.450053,105,185.247335
106.080144,171,186.34415
101.937345,89,186.977296
98.258856,80,187.547912
101.182573,27,187.778633
101.61162,140,188.693732
104.972325,67,189.166402
108.294164,114,189.967093
105.705089,103,190.666687
100.067021,87,191.246038
97.963835,96,191.894947
103.364666,43,192.225383
102.583626,29,192.474377
100.919338,20,192.646104
80.740529,167,193.810332
103.090206,362,196.317887
100.676715,19,196.481434
103.27665,50,196.861448
100.945151,27,197.098
97.219996,194,198.383621
2.711248,490,201.755307
104.797084,77,202.306337
104.941935,66,202.782499
103.09238,65,203.24407
102.161286,33,203.498461
99.916078,76,204.067703
102.89255,32,204.325374
104.263227,125,205.17873
104.629043,65,205.643271
105.326867,83,206.260934
100.481522,33,206.52199
100.339953,107,207.237417
100.967417,76,207.797628
105.279861,81,208.414015
102.914114,129,209.316451
101.55708,104,210.014489
106.745114,125,210.88324
107.18724,177,212.12179
