#{"t_start": 1773051530.7324498, "env_id": "SocNavGym-v1"}
r,l,t
-68.170292,600,12.286916
-112.975679,600,16.826917
-490.100014,600,21.274753
-94.254654,600,25.757594
-148.855324,600,30.020365
54.991899,364,32.65914
-29.592452,600,37.002098
101.162694,77,37.556929
-93.865274,600,41.943563
-98.866565,600,46.284391
102.323676,178,47.396304
94.957936,147,48.355882
-119.838692,600,52.328422
-80.909378,600,56.159911
20.885517,278,57.98613
-53.090831,600,61.7928
105.26891,389,64.289248
85.373102,519,68.000636
-402.914513,600,71.963056
-20.743637,600,75.9827
-580.407632,600,80.170016
100.95628,158,81.287152
66.653794,478,84.709628
86.143853,212,86.310476
86.013614,438,89.490933
76.733698,397,92.374873
-490.204248,600,96.583575
100.943479,297,98.618161
104.19056,564,102.381407
104.505027,211,103.868616
94.458163,150,104.994992
104.73906,225,106.533968
100.346932,10,106.644075
106.38899,215,108.108311
101.310712,258,109.799223
102.610573,91,110.434391
104.638915,199,111.759003
100.274429,145,112.741617
103.924967,195,114.091135
104.83521,300,116.187048
102.796754,112,116.966433
101.897349,72,117.468762
99.723681,29,117.698331
87.664585,415,120.429541
102.32938,109,121.229371
101.185721,40,121.56806
94.841946,400,124.770748
99.703999,205,126.354056
104.613832,180,127.783452
104.354528,252,129.85091
86.681308,204,131.555365
95.231202,108,132.397842
99.851454,38,132.742025
101.8481,73,133.357537
-471.619517,600,138.160434
98.711322,214,139.78967
82.632871,165,141.138012
107.4826,179,142.64528
97.150745,81,143.329919
97.222842,126,144.327221
100.994296,158,145.627497
100.264635,32,145.929753
99.868592,341,148.595275
99.142598,194,149.974498
101.858333,57,150.413252
89.696797,345,153.021103
102.31593,68,153.544441
104.029991,137,154.548195
103.210165,108,155.324086
102.68782,64,155.815506
100.364102,36,156.115348
101.046653,62,156.607693
100.494652,75,157.172364
100.831978,54,157.596667
88.530714,159,158.822759
103.662134,116,159.691428
105.550044,167,160.938511
103.321569,118,161.817777
94.903433,164,163.098641
106.982382,120,164.011974
103.051887,139,165.043034
103.065543,90,165.72555
99.140325,104,166.475643
-10.023027,516,170.177457
105.356292,127,171.050469
103.372223,74,171.57934
100.544561,48,171.92919
83.918818,95,172.619127
96.426764,119,173.432204
103.999366,172,174.635008
108.758098,141,175.641952
104.043546,156,176.717962
94.080684,180,178.029062
96.694979,240,179.740796
74.627613,162,181.07508
100.623202,69,181.614634
104.121195,104,182.561254
102.863772,137,183.609969
98.25926,132,184.569529
101.998882,169,185.964049
106.411881,106,186.78236
98.722883,153,187.943829
90.64346,221,189.626864
102.095863,61,190.074123
104.671772,183,191.385027
104.742253,122,192.280698
106.809734,119,193.200896
101.978548,40,193.508171
96.209036,219,195.078333
100.993604,125,195.977951
101.074918,81,196.587851
42.659311,204,198.206066
103.152728,54,198.689268
95.388688,203,200.284443
100.498048,360,202.940237
-539.798715,600,207.488792
104.024084,119,208.496025
98.698794,192,209.9895
97.502747,142,211.13693
104.241991,182,212.604365
103.725084,79,213.355668
98.557607,58,213.876099
101.255877,23,214.105717
101.140768,18,214.314019
102.31683,68,214.894141
41.184305,170,216.422477
105.792257,97,217.30515
100.860343,130,218.489618
103.452046,62,219.089724
99.250283,80,219.814384
100.949026,99,220.65301
103.452882,97,221.49388
99.12234,86,222.184353
102.566396,56,222.66627
105.146612,75,223.300907
105.096323,67,223.87509
109.388185,139,225.043873
102.550971,47,225.458316
99.797345,96,226.235069
106.395414,110,227.164991
102.485362,119,228.175596
102.531696,159,229.536744
105.742664,135,230.666418
95.928854,168,232.011989
100.533218,16,232.176748
82.516441,182,233.62785
106.796081,276,235.94699
103.474224,282,238.552649
98.266253,85,239.278211
102.981958,81,239.987211
101.614109,136,241.174478
80.1674,427,244.981347
102.358941,72,245.658936
102.483475,72,246.323912
106.61661,90,247.21518
107.094492,112,248.279411
102.024661,29,248.5859
104.712842,188,250.879692
93.551162,287,254.361237
89.898676,128,255.381402
52.605224,440,259.024305
102.605501,134,260.277804
101.426924,89,261.178442
103.098497,47,261.652364
107.636626,108,262.554659
43.95731,473,266.582674
