#{"t_start": 1769877804.0415854, "env_id": "SocNavGym-v1"}
r,l,t
-158.72876,600,10.989728
-70.390106,600,16.757411
-545.619764,600,21.952474
-34.046167,600,27.646946
-67.589519,600,32.852935
-36.571618,600,37.80118
-47.583454,600,42.132305
-11.865267,600,46.590482
-255.588583,600,51.270605
-84.071049,600,55.869586
11.548202,550,60.174693
101.989047,220,61.85193
99.74482,465,65.236369
106.251007,330,67.70575
-32.846113,587,72.439528
99.393839,407,75.488472
90.71178,208,77.161717
81.381086,66,77.720169
55.7442,364,80.546733
41.093194,370,83.493038
69.250741,392,86.396582
-139.021447,600,90.981122
103.010303,164,92.187046
102.77753,445,95.305779
105.810193,171,96.561356
103.081398,81,97.177962
106.016809,173,98.452691
69.295738,302,100.713215
102.800616,324,103.016895
-473.358865,600,107.50572
98.939684,191,108.908458
93.009323,365,111.556511
72.116979,193,113.085957
96.214831,123,114.049204
102.35773,146,115.110658
-100.91929,318,117.550998
82.000323,272,119.607862
94.768728,379,122.547916
70.119057,177,123.930582
84.111578,72,124.518292
93.59931,174,125.806485
102.777354,167,127.006295
99.451329,240,128.736176
104.547699,140,129.76796
100.94064,80,130.378961
108.896241,270,132.329837
103.236468,305,134.555974
104.029989,130,135.55796
96.464585,39,135.867191
-586.80427,600,140.477783
100.380053,49,140.874589
86.50933,127,141.867647
99.349383,165,143.116333
96.381729,166,144.353399
104.534923,123,145.293667
100.446297,20,145.485539
101.496233,71,146.054496
98.753552,148,147.18494
100.128038,164,148.426184
95.133177,309,150.817341
-529.969618,600,155.564495
99.080647,154,156.767226
100.318648,9,156.881116
104.971464,168,158.189902
102.914537,64,158.689805
103.618346,178,160.046915
80.377568,241,162.056209
101.491333,87,162.802138
105.942323,110,163.676942
104.911811,123,164.620535
89.202057,126,165.630482
98.040902,128,166.618017
99.480046,273,168.70983
100.729191,130,169.719522
100.075005,146,170.8294
98.391083,128,171.824589
102.883503,110,172.674388
83.019325,96,173.49025
106.465051,136,174.551779
102.988657,130,175.54287
97.565916,156,176.705908
103.674684,165,177.97797
99.582809,134,179.048811
99.319704,175,180.392918
102.837738,191,181.858995
99.874432,39,182.204131
103.948105,85,182.90091
100.968148,16,183.066786
103.702279,133,184.117173
101.755984,188,185.578359
106.604666,135,186.65625
100.697339,87,187.346119
99.518139,69,187.890596
100.790271,144,189.137711
97.382213,169,190.461696
105.947995,246,192.356062
106.575939,89,193.091446
67.057959,143,194.248614
100.560247,39,194.585115
87.466613,97,195.401733
103.061591,207,197.015446
100.925592,168,198.336316
108.401551,119,199.295044
99.250149,58,199.775167
107.989245,107,200.659982
106.893763,104,201.511585
101.404915,121,202.474766
109.146456,127,203.511544
108.051907,140,204.761348
93.524171,206,206.482101
102.067105,31,206.771795
102.872213,82,207.473048
99.507805,172,208.892855
103.406622,105,209.803042
101.958294,28,210.074375
105.528543,79,210.752088
102.488259,65,211.306258
-569.428406,600,216.370084
99.173273,89,217.106056
101.16691,34,217.417714
102.195464,76,218.071122
103.926239,123,219.106508
94.18841,47,219.54745
101.483945,30,219.847398
101.040198,155,221.139216
101.67799,29,221.429041
90.417461,139,222.695034
103.697192,283,225.127189
105.130138,82,225.864125
102.345562,61,226.415383
96.750298,144,227.610312
40.701179,175,229.206539
103.207601,38,229.551483
109.572566,130,230.680994
-551.783061,600,235.726396
106.435318,106,236.617002
104.95723,118,237.634813
80.033528,204,239.373423
101.237222,71,240.010595
100.456473,18,240.211617
100.901817,79,240.905679
99.519202,73,241.570244
102.831373,33,241.899642
100.477489,10,242.03407
